date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,0,0,1
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,2,0,0,2
2020-03-12,0,0,0,0
2020-03-13,1,0,0,1
2020-03-14,2,1,0,1
2020-03-15,3,0,0,3
2020-03-16,3,0,0,3
2020-03-17,7,0,0,7
2020-03-18,8,0,0,8
2020-03-19,9,-1,0,10
2020-03-20,11,0,0,11
2020-03-21,22,0,0,22
2020-03-22,42,0,0,42
2020-03-23,17,0,0,17
2020-03-24,38,0,1,37
2020-03-25,42,0,1,41
2020-03-26,55,0,1,54
2020-03-27,29,0,1,28
2020-03-28,47,0,0,47
2020-03-29,39,0,0,39
2020-03-30,46,0,0,46
2020-03-31,44,0,0,44
2020-04-01,44,0,2,42
2020-04-02,67,0,0,67
2020-04-03,52,0,0,52
