date,confirmed,recovered,deaths,active
2020-01-22,1,0,0,1
2020-01-23,0,0,0,0
2020-01-24,1,0,0,1
2020-01-25,0,0,0,0
2020-01-26,1,0,0,1
2020-01-27,1,0,0,1
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,7,0,0,7
2020-02-01,1,0,0,1
2020-02-02,3,0,0,3
2020-02-03,0,0,0,0
2020-02-04,1,0,0,1
2020-02-05,3,0,0,3
2020-02-06,4,0,0,4
2020-02-07,1,1,0,0
2020-02-08,0,0,0,0
2020-02-09,1,2,0,-1
2020-02-10,2,0,0,2
2020-02-11,1,0,0,1
2020-02-12,0,4,0,-4
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,2,0,-2
2020-02-16,1,0,0,1
2020-02-17,1,1,0,0
2020-02-18,1,2,0,-1
2020-02-19,0,0,0,0
2020-02-20,73,4,1,68
2020-02-21,100,0,1,99
2020-02-22,229,0,0,229
2020-02-23,169,2,4,163
2020-02-24,231,0,2,229
2020-02-25,144,4,2,138
2020-02-26,284,0,2,282
2020-02-27,505,0,1,504
2020-02-28,571,0,0,571
2020-02-29,813,5,3,805
2020-03-01,586,3,1,582
2020-03-02,599,0,11,588
2020-03-03,851,0,0,851
2020-03-04,435,11,7,417
2020-03-05,467,0,0,467
2020-03-06,505,94,7,404
2020-03-07,448,0,2,446
2020-03-08,273,-17,6,284
2020-03-09,164,0,3,161
2020-03-10,35,129,1,-95
2020-03-11,242,41,6,195
2020-03-12,114,45,6,63
2020-03-13,110,177,0,-67
2020-03-14,107,0,6,101
2020-03-15,76,0,3,73
2020-03-16,74,627,0,-553
2020-03-17,84,270,6,-192
2020-03-18,93,133,3,-43
2020-03-19,152,0,7,145
2020-03-20,87,0,3,84
2020-03-21,147,0,8,139
2020-03-22,162,1369,9,-1216
2020-03-23,0,0,0,0
2020-03-24,76,598,9,-531
2020-03-25,100,223,6,-129
2020-03-26,104,414,5,-315
2020-03-27,91,384,8,-301
2020-03-28,146,283,5,-142
2020-03-29,105,222,8,-125
2020-03-30,78,195,6,-123
2020-03-31,125,180,4,-59
2020-04-01,101,159,3,-61
2020-04-02,89,261,4,-176
2020-04-03,86,193,5,-112
2020-04-04,94,304,3,-213
2020-04-05,81,138,6,-63
2020-04-06,47,135,3,-91
2020-04-07,47,96,6,-55
2020-04-08,53,82,8,-37
2020-04-09,39,197,4,-162
2020-04-10,27,144,4,-121
2020-04-11,30,126,3,-99
2020-04-12,32,125,3,-96
2020-04-13,25,79,3,-57
2020-04-14,27,87,5,-65
2020-04-15,27,82,3,-58
2020-04-16,22,141,4,-123
2020-04-17,22,72,1,-51
2020-04-18,18,108,2,-92
2020-04-19,8,105,2,-99
2020-04-20,13,72,2,-61
2020-04-21,9,99,1,-91
2020-04-22,11,64,1,-54
