date,confirmed,recovered,deaths,active
2020-01-22,2,0,0,2
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,2,1,0,1
2020-01-27,0,0,0,0
2020-01-28,3,0,0,3
2020-01-29,0,0,0,0
2020-01-30,4,0,0,4
2020-01-31,4,0,0,4
2020-02-01,5,0,0,5
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,2,0,0,2
2020-02-05,1,0,0,1
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,1,0,0,1
2020-02-09,0,0,0,0
2020-02-10,2,3,0,-1
2020-02-11,1,5,0,-4
2020-02-12,1,0,0,1
2020-02-13,5,0,1,4
2020-02-14,10,0,0,10
2020-02-15,11,3,0,8
2020-02-16,6,0,0,6
2020-02-17,7,0,0,7
2020-02-18,12,1,1,10
2020-02-19,6,5,0,1
2020-02-20,10,0,0,10
2020-02-21,17,4,0,13
2020-02-22,25,0,0,25
2020-02-23,12,0,0,12
2020-02-24,11,0,0,11
2020-02-25,13,0,1,12
2020-02-26,19,0,0,19
2020-02-27,26,0,1,25
2020-02-28,18,0,1,17
2020-02-29,9,10,1,-2
2020-03-01,14,0,0,14
2020-03-02,19,0,0,19
2020-03-03,20,11,0,9
2020-03-04,35,0,1,34
2020-03-05,32,0,0,32
2020-03-06,55,3,0,52
2020-03-07,46,30,0,16
2020-03-08,33,0,1,32
2020-03-09,28,0,2,26
2020-03-10,58,25,3,30
2020-03-11,55,17,2,36
2020-03-12,56,0,4,52
2020-03-13,37,0,2,35
2020-03-14,62,0,1,61
2020-03-15,31,0,2,29
2020-03-16,17,26,6,-15
2020-03-17,50,0,0,50
2020-03-18,35,0,2,33
2020-03-19,40,6,1,33
2020-03-20,54,41,1,12
2020-03-21,37,41,2,-6
2020-03-22,45,3,4,38
2020-03-23,40,0,1,39
2020-03-24,73,50,1,22
2020-03-25,97,25,3,69
2020-03-26,102,49,2,51
2020-03-27,114,13,6,95
2020-03-28,198,32,3,163
2020-03-29,179,20,7,152
2020-03-30,94,0,2,92
2020-03-31,254,0,2,252
2020-04-01,280,48,5,227
2020-04-02,283,0,3,280
2020-04-03,336,42,6,288
2020-04-04,371,0,6,365
2020-04-05,351,0,6,345
2020-04-06,234,61,3,170
2020-04-07,375,17,2,356
2020-04-08,535,30,7,498
2020-04-09,594,10,8,576
2020-04-10,636,53,12,571
2020-04-11,701,77,13,611
2020-04-12,522,0,9,513
2020-04-13,300,22,9,269
2020-04-14,504,15,14,475
2020-04-15,558,54,16,488
2020-04-16,563,48,18,497
2020-04-17,560,34,13,513
2020-04-18,590,134,19,437
2020-04-19,366,90,19,257
2020-04-20,344,0,20,324
2020-04-21,383,80,28,275
2020-04-22,396,117,20,259
2020-04-23,432,138,28,266
2020-04-24,385,36,9,340
2020-04-25,332,126,19,187
2020-04-26,219,153,16,50
2020-04-27,171,90,22,59
2020-04-28,284,0,19,265
2020-04-29,216,469,18,-271
2020-04-30,208,92,27,89
2020-05-01,274,515,29,-270
2020-05-02,303,230,26,47
2020-05-03,200,776,24,-600
2020-05-04,168,175,22,-29
2020-05-05,125,340,11,-226
2020-05-06,101,0,12,89
2020-05-07,98,422,12,-336
