date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,6,0,0,6
2020-02-04,0,0,0,0
2020-02-05,1,0,0,1
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,4,0,0,4
2020-02-09,1,0,0,1
2020-02-10,0,0,0,0
2020-02-11,1,0,0,1
2020-02-12,1,1,0,0
2020-02-13,1,0,0,1
2020-02-14,1,0,0,1
2020-02-15,0,0,0,0
2020-02-16,0,7,0,-7
2020-02-17,1,0,0,1
2020-02-18,0,0,0,0
2020-02-19,1,0,0,1
2020-02-20,2,0,0,2
2020-02-21,1,0,0,1
2020-02-22,0,0,0,0
2020-02-23,5,0,0,5
2020-02-24,2,0,0,2
2020-02-25,4,0,0,4
2020-02-26,3,0,0,3
2020-02-27,7,0,0,7
2020-02-28,12,0,0,12
2020-02-29,5,0,0,5
2020-03-01,33,0,0,33
2020-03-02,40,0,0,40
2020-03-03,55,0,0,55
2020-03-04,57,0,0,57
2020-03-05,49,0,0,49
2020-03-06,79,0,1,78
2020-03-07,55,10,1,44
2020-03-08,54,0,0,54
2020-03-09,147,0,1,146
2020-03-10,259,1,4,254
2020-03-11,412,0,0,412
2020-03-12,489,0,2,487
2020-03-13,480,0,1,479
2020-03-14,364,0,19,345
2020-03-15,443,0,14,429
2020-03-16,615,2,23,590
2020-03-17,770,32,17,721
2020-03-18,1006,15,35,956
2020-03-19,1066,0,46,1020
2020-03-20,1258,0,32,1226
2020-03-21,1215,0,58,1157
2020-03-22,1388,-1,35,1354
2020-03-23,2349,0,76,2273
2020-03-24,2382,73,148,2161
2020-03-25,2717,0,191,2526
2020-03-26,3127,10,182,2935
2020-03-27,3249,1,288,2960
2020-03-28,2843,0,292,2551
2020-03-29,2892,0,213,2679
2020-03-30,4327,20,374,3933
2020-03-31,4534,8,404,4122
2020-04-01,4974,0,673,4301
