date,confirmed,recovered,deaths,active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,3,0,0,3
2020-01-25,3,0,0,3
2020-01-26,4,0,0,4
2020-01-27,5,0,0,5
2020-01-28,8,0,0,8
2020-01-29,8,0,0,8
2020-01-30,9,0,0,9
2020-01-31,10,0,0,10
2020-02-01,10,0,0,10
2020-02-02,10,0,0,10
2020-02-03,10,0,0,10
2020-02-04,11,0,0,11
2020-02-05,11,0,0,11
2020-02-06,16,1,0,15
2020-02-07,16,1,0,15
2020-02-08,17,1,0,16
2020-02-09,18,1,0,17
2020-02-10,18,1,0,17
2020-02-11,18,1,0,17
2020-02-12,18,1,0,17
2020-02-13,18,1,0,17
2020-02-14,18,2,0,16
2020-02-15,18,2,0,16
2020-02-16,20,2,1,17
2020-02-17,22,2,1,19
2020-02-18,22,2,1,19
2020-02-19,23,2,1,20
2020-02-20,24,2,1,21
2020-02-21,26,2,1,23
2020-02-22,26,2,1,23
2020-02-23,28,2,1,25
2020-02-24,30,5,1,24
2020-02-25,31,5,1,25
2020-02-26,32,5,1,26
2020-02-27,32,5,1,26
2020-02-28,34,6,1,27
2020-02-29,39,9,1,29
2020-03-01,40,9,1,30
2020-03-02,41,12,1,28
2020-03-03,42,12,1,29
2020-03-04,42,12,1,29
2020-03-05,44,12,1,31
2020-03-06,45,12,1,32
2020-03-07,45,12,1,32
2020-03-08,45,13,1,31
2020-03-09,45,15,1,29
2020-03-10,47,17,1,29
2020-03-11,48,17,1,30
2020-03-12,49,20,1,28
2020-03-13,50,20,1,29
2020-03-14,53,20,1,32
2020-03-15,59,20,1,38
2020-03-16,67,20,1,46
2020-03-17,77,22,1,54
2020-03-18,100,22,1,77
2020-03-19,108,26,1,81
2020-03-20,135,26,2,107
2020-03-21,153,28,2,123
2020-03-22,169,28,2,139
2020-03-23,195,28,2,165
2020-03-24,215,29,2,184
2020-03-25,235,29,2,204
2020-03-26,252,29,2,221
2020-03-27,267,29,2,236
2020-03-28,283,30,2,251
2020-03-29,298,30,2,266
2020-03-30,306,39,5,262
2020-03-31,322,39,5,278
2020-04-01,329,39,5,285
2020-04-02,339,45,5,289
2020-04-03,348,50,5,293
2020-04-04,355,50,5,300
2020-04-05,363,50,5,308
2020-04-06,373,57,5,311
2020-04-07,376,57,5,314
2020-04-08,379,61,5,313
2020-04-09,380,67,5,308
2020-04-10,382,91,6,285
2020-04-11,385,99,6,280
2020-04-12,388,109,6,273
2020-04-13,393,109,6,278
2020-04-14,393,124,6,263
2020-04-15,395,124,6,265
2020-04-16,395,155,6,234
2020-04-17,395,166,6,223
2020-04-18,398,178,6,214
2020-04-19,420,189,6,225
2020-04-20,422,203,6,213
2020-04-21,425,217,6,202
2020-04-22,426,236,6,184
2020-04-23,427,253,6,168
2020-04-24,428,264,6,158
2020-04-25,429,275,6,148
2020-04-26,429,281,6,142
2020-04-27,429,290,6,133
2020-04-28,429,307,6,116
2020-04-29,429,311,6,112
2020-04-30,429,322,6,101
2020-05-01,429,324,6,99
2020-05-02,432,324,6,102
2020-05-03,436,332,6,98
2020-05-04,438,334,6,98
2020-05-05,438,334,6,98
2020-05-06,439,339,6,94
2020-05-07,440,347,6,87
2020-05-08,440,355,6,79
2020-05-09,440,361,6,73
2020-05-10,440,366,6,68
2020-05-11,440,368,7,65
2020-05-12,440,372,7,61
2020-05-13,440,375,7,58
2020-05-14,440,383,7,50
2020-05-15,440,387,7,46
2020-05-16,440,389,7,44
2020-05-17,440,395,7,38
2020-05-18,440,398,7,35
2020-05-19,440,398,7,35
2020-05-20,440,398,7,35
2020-05-21,440,398,7,35
2020-05-22,441,408,7,26
2020-05-23,441,411,7,23
