date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,1,0,0,1
2020-01-27,0,0,0,0
2020-01-28,1,0,0,1
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,1,0,0,1
2020-02-06,0,0,0,0
2020-02-07,2,0,0,2
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,1,0,-1
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,1,0,0,1
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,1,2,0,-1
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,0,0,1
2020-02-25,2,0,0,2
2020-02-26,0,0,0,0
2020-02-27,2,3,0,-1
2020-02-28,1,0,0,1
2020-02-29,6,0,0,6
2020-03-01,5,0,0,5
2020-03-02,6,0,0,6
2020-03-03,5,0,0,5
2020-03-04,5,0,0,5
2020-03-05,4,0,0,4
2020-03-06,14,0,0,14
2020-03-07,4,2,0,2
2020-03-08,10,0,0,10
2020-03-09,14,0,1,13
2020-03-10,4,0,0,4
2020-03-11,35,0,0,35
2020-03-12,14,0,0,14
2020-03-13,72,0,0,72
2020-03-14,23,0,0,23
2020-03-15,60,0,0,60
2020-03-16,154,1,3,150
2020-03-17,82,0,2,80
2020-03-18,200,0,5,195
2020-03-19,189,0,0,189
2020-03-20,254,0,4,250
2020-03-21,478,1,4,473
2020-03-22,392,0,3,389
2020-03-23,555,0,7,548
2020-03-24,585,100,4,481
2020-03-25,498,73,9,416
2020-03-26,867,1,15,851
2020-03-27,699,72,9,618
2020-03-28,836,210,16,610
2020-03-29,930,0,14,916
2020-03-30,1106,0,29,1077
2020-03-31,1125,1126,27,-28
2020-04-01,1281,-268,23,1526
2020-04-02,1692,411,49,1232
