date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,1,0,0,1
2020-01-27,1,0,0,1
2020-01-28,2,0,0,2
2020-01-29,2,0,0,2
2020-01-30,2,0,0,2
2020-01-31,4,0,0,4
2020-02-01,4,0,0,4
2020-02-02,4,0,0,4
2020-02-03,4,0,0,4
2020-02-04,4,0,0,4
2020-02-05,5,0,0,5
2020-02-06,5,0,0,5
2020-02-07,7,0,0,7
2020-02-08,7,0,0,7
2020-02-09,7,0,0,7
2020-02-10,7,0,0,7
2020-02-11,7,0,0,7
2020-02-12,7,1,0,6
2020-02-13,7,1,0,6
2020-02-14,7,1,0,6
2020-02-15,7,1,0,6
2020-02-16,7,1,0,6
2020-02-17,8,1,0,7
2020-02-18,8,1,0,7
2020-02-19,8,1,0,7
2020-02-20,8,1,0,7
2020-02-21,9,3,0,6
2020-02-22,9,3,0,6
2020-02-23,9,3,0,6
2020-02-24,10,3,0,7
2020-02-25,12,3,0,9
2020-02-26,12,3,0,9
2020-02-27,14,6,0,8
2020-02-28,15,6,0,9
2020-02-29,21,6,0,15
2020-03-01,26,6,0,20
2020-03-02,32,6,0,26
2020-03-03,37,6,0,31
2020-03-04,42,6,0,36
2020-03-05,46,6,0,40
2020-03-06,60,6,0,54
2020-03-07,64,8,0,56
2020-03-08,74,8,0,66
2020-03-09,88,8,1,79
2020-03-10,92,8,1,83
2020-03-11,127,8,1,118
2020-03-12,141,8,1,132
2020-03-13,213,8,1,204
2020-03-14,236,8,1,227
2020-03-15,296,8,1,287
2020-03-16,450,9,4,437
2020-03-17,532,9,6,517
2020-03-18,732,9,11,712
2020-03-19,921,9,11,901
2020-03-20,1175,9,15,1151
2020-03-21,1653,10,19,1624
2020-03-22,2045,10,22,2013
2020-03-23,2600,10,29,2561
2020-03-24,3185,110,33,3042
2020-03-25,3683,183,42,3458
2020-03-26,4550,184,57,4309
2020-03-27,5249,256,66,4927
2020-03-28,6085,466,82,5537
2020-03-29,7015,466,96,6453
2020-03-30,8121,466,125,7530
2020-03-31,9246,1592,152,7502
2020-04-01,10527,1324,175,9028
